PB,Random,CD,Pitch,Error,E-P,E-C,E-1B,E-2B,E-3B,E-SS,E-OF,P,LN,LP,SN,SP,RN,RP
7,76,LF,No,9-10,1,1,1,2,2,2,4,F4,F2,F2,G6A*,G3*,F2,F2
8,12,3B,Yes,None,3,3,1,1,1,1,4,F8,F8,F8,F8,F8,F8,F8
4,52,SS,No,1-10,1,1,1,2,2,2,4,G6*,F2,F2,Gx6*,Gx6*,F2,F2
6,43,CF,No,7-10,1,1,1,2,2,2,4,F9,F9,F9,F9,F9,F9,F9
11,65,P,Yes,None,1,1,1,2,2,2,4,G5*,G5*,F5,F5,F5,F3,F3
10,27,C,Yes,None,3,3,1,1,1,1,4,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*
7,32,SS,No,None,3,3,1,1,1,1,4,F8,F8,F8,F8,F8,F8,F8
9,34,1B,Yes,None,3,3,1,1,1,1,4,F4,F4,F4,F4,F4,F4,F4
4,77,3B,Yes,None,1,1,1,2,2,2,4,G3*,G1*,G4*,G4*,L4*,L6*,G5*
10,22,1B,Yes,None,3,3,1,1,1,1,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
6,34,3B,Yes,None,3,3,1,1,1,1,4,F4,F4,F4,F4,F4,F4,F4
4,72,2B,Yes,None,1,1,1,2,2,2,4,G2*,G2*,G2*,G2*,G2*,G2*,G2*
6,68,3B,No,None,1,1,1,2,2,2,4,L6,G6*,G6*,Gx4*,Gx4*,G6*,L5
7,75,CF,No,9-10,1,1,1,2,2,2,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
5,84,3B,No,None,3,3,3,3,3,3,5,F5,Gx4*,Gx4*,Gx4*,G4*,Gx6*,F6
4,85,CF,Yes,None,3,3,1,1,1,1,5,G5*,G5*,G5*,G5*,G5*,G5*,G5*
8,78,SS,Yes,None,1,1,1,2,2,2,4,G4A*,F9,G6*,F9,G4*,F7,G5A*
6,35,SS,No,7-10,3,3,1,1,1,1,4,F5,F5,F5,F5,F5,F5,F5
6,72,3B,No,None,1,1,1,2,2,2,4,G1A*,F9,F9,G3-1A*,G1*,G1*,G5*
3,42,2B,No,None,1,1,1,2,2,2,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
10,21,C,No,None,3,3,1,1,1,1,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
5,64,SS,No,None,1,1,1,2,2,2,4,F4,G6A*,G6*,G5*,G6*,G4A*,G4A*
3,44,3B,Yes,None,1,1,1,2,2,2,4,F8,F8,F8,F8,F8,F8,F8
5,52,3B,No,None,1,1,1,2,2,2,4,G6*,F2,F2,Gx6*,Gx6*,F2,F2
CD,88,2B,No,None,3,3,3,3,3,3,5,G2A*,G2A*,G2A*,G2A*,G2A*,G2A*,G2A*
6,38,SS,Yes,None,3,3,1,1,1,1,4,F9,F9,F9,F9,F9,F9,F9
CD,86,SS,No,None,3,3,3,3,3,3,5,F3,Gx6*,G6A*,FD8,FD8,Gx6*,Gx3*
12,26,P,No,None,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
