PB,RN,Error,Pitch,E P,E C,E IF,E OF,O RP,O RN,O LP,O LN,O P,CD RP,CD RN,CD LP,CD LN,CD P
3,61,1-20,Yes,2,3,3,5,G2A,G4,F8,GX6,L5,3B,2B,CF,2B,2B
6,33,1-20,Yes,1,2,1,4,GX6,F7,FD9,GX3,G4,LF,CF,CF,2B,CF
5,56,1-20,Yes,2,2,1,4,L6,G4A,G6,FD9,L4,SS,SS,2B,LF,2B
6,77,11-20,Yes,3,1,3,5,F3,L6,F8,GX3,GX1,3B,LF,C,LF,2B
BD,15,11-20,Yes,3,3,1,3,G4A,GX3,G3,F9,FD8,3B,CF,2B,LF,C
5,61,No,No,1,2,3,3,F7,G4,G4A,F9,F2,2B,2B,C,LF,3B
11,44,No,Yes,3,2,1,5,G4A,G5,GX4,GX4,GX4,SS,C,P,LF,1B
3,28,No,Yes,2,2,1,5,GX5,GX4,G3,F4,G4,RF,LF,2B,RF,LF
4,37,No,No,2,2,1,4,G5A,F6,F4,GX6,GX6,CF,RF,2B,1B,LF
4,46,No,No,3,2,1,3,G6A,F9,F7,G3,G6,SS,LF,CF,1B,2B
11,88,0-20,Yes,1,3,1,4,F7,F7,G4A,G4,F9,RF,SS,SS,RF,RF
10,26,2-20,Yes,1,2,1,3,FD9,GX4,F8,GX6,G3,SS,SS,2B,1B,2B
2,24,2-20,Yes,1,3,1,4,L5,G5A,L3,F4,G3,C,RF,RF,2B,C
11,83,2-20,Yes,3,2,3,4,G2A,L5,F8,FD8,G5,LF,3B,C,RF,2B
8,45,2-20,Yes,2,1,1,5,L4,G5A,F9,G6,L6,3B,3B,CF,LF,RF
5,54,No,Yes,2,1,2,5,L5,G1A,G4,FD9,GX1,C,P,SS,C,RF
6,44,No,Yes,2,3,1,5,FD7,G6A,G4A,G6A,G2A,SS,3B,1B,LF,P
CD,28,No,Yes,2,2,3,5,G6,FD7,F9,FD9,G2A,SS,LF,P,LF,SS
2,78,No,No,2,2,3,5,G6,F7,L3,G6A,GX4,CF,2B,2B,RF,1B
8,57,No,No,1,3,1,5,GX3,FD9,G5A,G2A,G4,LF,CF,LF,P,SS
4,12,3-20,Yes,3,2,1,4,G5A,F5,G3,F8,F7,RF,LF,RF,LF,C
6,33,3-20,Yes,3,3,3,4,GX6,F8,G4,G6,GX5,CF,SS,LF,2B,LF
