PB,RN,Error,Pitch,E P,E C,E IF,E OF,O RP,O RN,O LP,O LN,O P,CD RP,CD RN,CD LP,CD LN,CD P,RADV 1b7,RADV 1b8,RADV 1b9,RADV 2b
3,61,No,Yes,2,3,3,5,G2A,G4,F8,GX6,L5,3B,2B,CF,2B,2B,1/1,1/1,1/1,2
6,33,1-20,No,1,2,1,4,GX6,F7,FD9,GX3,G4,2B,CF,CF,2B,CF,1/1,1/1,1/1,2
5,56,1-20,Yes,2,2,1,4,L6,G4A,G6,FD9,L4,SS,SS,2B,2B,2B,1/1,1/1,1/1,2
6,77,No,No,3,1,3,5,F3,L6,F8,GX3,GX1,3B,2B,C,2B,2B,1/1,1/1,1/1,2
BD,15,11-20,Yes,3,3,1,3,G4A,GX3,G3,F9,FD8,3B,CF,2B,2B,C,1/1,1/1,1/1,2
5,61,No,No,1,2,3,3,F7,G4,G4A,F9,F2,2B,2B,C,2B,3B,1/1O,1/2,1O,2O
11,44,No,Yes,3,2,1,5,G4A,G5,GX4,GX4,GX4,SS,C,P,2B,1B,1/1O,1/2,1O,2O
3,28,No,Yes,2,2,1,5,GX5,GX4,G3,F4,G4,RF,2B,2B,RF,2B,1/1O,1/2,1O,2O
4,37,No,No,2,2,1,4,G5A,F6,F4,GX6,GX6,CF,RF,2B,1B,2B,1/1O,1/2,1O,2O
4,46,No,No,3,2,1,3,G6A,F9,F7,G3,G6,SS,2B,CF,1B,2B,1/1O,1/2,1O,2O
11,88,1-20,Yes,1,3,1,4,F7,F7,G4A,G4,F9,RF,SS,SS,RF,RF,1/1,1/1,1/1,2
10,26,No,Yes,1,2,1,3,FD9,GX4,F8,GX6,G3,SS,SS,2B,1B,2B,1/1,1/1,1/1,2
2,24,2-20,Yes,1,3,1,4,L5,G5A,L3,F4,G3,C,RF,RF,2B,C,1/1,1/1,1/1,2
11,83,2-20,Yes,3,2,3,4,G2A,L5,F8,FD8,G5,2B,3B,C,RF,2B,1/1,1/1,1/1,2
8,45,2-20,Yes,2,1,1,5,L4,G5A,F9,G6,L6,3B,3B,CF,2B,RF,1/1,1/1,1/1,2
5,54,No,Yes,2,1,2,5,L5,G1A,G4,FD9,GX1,C,P,SS,C,RF,1/1O,1/2,1O,2O
6,44,No,Yes,2,3,1,5,FD7,G6A,G4A,G6A,G2A,SS,3B,1B,2B,P,1/1O,1/2,1O,2O
CD,28,No,Yes,2,2,3,5,G6,FD7,F9,FD9,G2A,SS,1B,P,1B,SS,1/1O,1/2,1O,2O
